Bus_ID,Bus_Name,Bus_Number_Plate,Bus_Color,Bus_Brand,Class,Departure_Time,Arrival_Time,Duration,Price,Origin_ID,Destination_ID,Capacity
1,Ukhrul Bus Stop - Agartala Bus Stand,BH 4247 RF,Red,MERCEDES BENZ,AC Sleeper,2023-09-10 17:00:49,2023-09-11 04:14:49,674,524,420,421,42
2,Ganderbal Bus Stop - Howrah Bus Station,BH 9109 DE,Red,ASHOK LEYLAND,Non AC Sleeper,2023-09-30 13:11:03,2023-09-30 21:11:03,480,359,149,374,55
3,Madhubani Bus Stand - Asansol Bus Depot,BH 0097 RZ,Blue,MAHINDRA & MAHINDRA,Non AC Executive,2023-09-29 18:52:59,2023-09-30 03:08:59,496,834,219,377,48
4,Bhadrachalam Bus Depot - Haldia Bus Terminal,BH 9384 HF,Grey,TATA MOTORS,Non AC Sleeper,2023-10-16 11:31:43,2023-10-16 22:52:43,681,311,335,379,43
5,Diglipur Bus Stand - Bareilly Bus Station,BH 5002 XI,Yellow,MERCEDES BENZ,Non AC Executive,2023-09-20 13:22:56,2023-09-20 21:31:56,489,997,428,108,54
6,Madhubani Bus Stand - Rayagada Bus Stop,BH 2829 ND,Yellow,MERCEDES BENZ,Non AC Sleeper,2023-09-05 03:00:06,2023-09-05 13:39:06,639,316,219,467,53
7,Nellore Bus Terminal - Dimapur Bus Terminal,BH 0328 BX,Red,TATA MOTORS,AC Executive,2023-10-05 06:31:47,2023-10-05 14:33:47,482,1460,345,404,36
8,Kalyani Bus Stand - Bareilly Bus Station,BH 4246 TX,Green,MAHINDRA & MAHINDRA,AC Executive,2023-10-16 15:27:38,2023-10-17 01:07:38,580,1110,392,108,36
9,Chittorgarh Stand - Agartala Bus Stand,BH 2041 MR,White,ASHOK LEYLAND,AC Executive,2023-09-02 22:04:00,2023-09-03 08:49:00,645,1264,51,421,55
10,Chapra Bus Terminal - Hazrat Nizamuddin Depot,BH 7939 VS,Green,TATA MOTORS,Non AC Sleeper,2023-09-14 07:21:55,2023-09-14 16:05:55,524,418,211,3,47
11,Diu Bus Terminal - Jamnagar Bus Terminus,BH 4050 YQ,Black,MAHINDRA & MAHINDRA,AC Sleeper,2023-10-15 14:30:31,2023-10-16 00:36:31,606,503,433,286,53
12,Deoghar Bus Stand - Mandsaur Bus Depot,BH 5791 YL,Yellow,SOLARIS,AC Executive,2023-10-02 14:00:18,2023-10-03 00:01:18,601,1430,246,93,43
13,Puri Bus Terminal - Pune Swargate Bus Stand,BH 7193 WV,Grey,ASHOK LEYLAND,Non AC Sleeper,2023-09-25 04:27:26,2023-09-25 15:55:26,688,335,458,182,30
14,Suryapet Bus Stand - Sawai Madhopur Junction,BH 8017 NK,Purple,MAHINDRA & MAHINDRA,AC Executive,2023-09-15 08:27:47,2023-09-15 19:02:47,635,1058,336,53,52
15,Kolkata Esplanade Bus Terminus - Wayanad Bus Depot,BH 1111 NH,Blue,TATA MOTORS,AC Sleeper,2023-10-18 22:29:57,2023-10-19 07:18:57,529,703,373,273,33
16,Kurukshetra Junction - Botad Bus Stand,BH 4589 ZH,Pink,VOLVO BUSES,AC Sleeper,2023-10-11 00:18:50,2023-10-11 10:23:50,605,595,27,300,32
17,Kanhangad Bus Terminal - Lajpat Nagar,BH 7627 RR,Brown,ASHOK LEYLAND,AC Executive,2023-10-21 11:18:06,2023-10-21 22:25:06,667,1173,279,7,31
18,Alappuzha Bus Stand - Wokha Bus Stand,BH 8112 CM,White,VOLVO BUSES,Non AC Sleeper,2023-09-24 01:43:13,2023-09-24 11:51:13,608,385,266,407,30
19,Firozpur Bus Stand - Udaipur City Depot,BH 7194 MC,Grey,EICHER MOTORS,AC Executive,2023-10-16 18:27:11,2023-10-17 03:28:11,541,1018,309,43,36
20,Baharampur Bus Stand - Bargarh Bus Stand,BH 3308 EG,Black,MAHINDRA & MAHINDRA,Non AC Sleeper,2023-10-13 06:11:28,2023-10-13 15:30:28,559,413,385,463,53
21,Havelock Island Bus Stop - Kochi Vyttila Mobility Hub,BH 2264 XX,Green,BYD COMPANY LTD,AC Sleeper,2023-09-20 05:50:06,2023-09-20 14:56:06,546,546,431,262,33
