Car_ID,Class,Price,Capacity
BH 6658 YR,Mini,250,4
BH 0375 VI,SUV,477,7
BH 5093 AT,Micro,258,2
BH 5967 UN,Mini,390,4
BH 6637 EO,Micro,181,2
BH 3299 DX,SUV,463,7
BH 9837 PR,Lux,1199,5
BH 9258 RP,Lux,1597,5
BH 4494 BL,Sedan,328,5
BH 9652 JV,Micro,260,2
BH 1065 DS,Mini,333,4
BH 7592 SQ,Sedan,424,5
BH 0324 MU,SUV,750,7
BH 1920 HQ,Mini,394,4
BH 3682 HZ,SUV,421,7
BH 7143 QJ,Lux,1423,5
BH 2689 WH,Micro,287,2
BH 9558 RT,Micro,208,2
BH 0533 NW,Micro,165,2
BH 0753 EN,Mini,395,4
BH 7215 YG,Mini,211,4
BH 3242 QX,Sedan,482,5
BH 3447 JQ,Sedan,439,5
BH 6184 WI,SUV,425,7
BH 4667 UI,Lux,1531,5
BH 4223 YJ,Sedan,301,5
BH 4779 WE,Mini,288,4
BH 3505 TY,Sedan,499,5
BH 7436 TC,Micro,165,2
BH 3209 KI,Sedan,363,5
BH 4182 YR,SUV,779,7
BH 1352 LT,Mini,264,4
BH 4775 VZ,SUV,766,7
BH 6418 KN,Lux,1332,5
BH 8175 GH,Sedan,428,5
BH 5173 LV,Micro,211,2
BH 5842 OQ,Lux,1573,5
BH 0939 VY,Sedan,498,5
BH 7436 JL,SUV,661,7
BH 2928 VQ,Sedan,424,5
BH 7541 GN,Lux,1521,5
BH 3694 UV,Micro,175,2
BH 2995 LN,Mini,222,4
BH 4157 UY,SUV,419,7
BH 5953 IF,Sedan,434,5
BH 3520 NW,Lux,924,5
BH 5622 DQ,Micro,254,2
BH 4750 BC,Sedan,416,5
BH 8542 OP,SUV,598,7
BH 5338 OC,SUV,755,7
BH 4052 TY,Sedan,434,5
BH 7085 GP,Sedan,424,5
BH 9984 OC,SUV,663,7
BH 4764 BS,Lux,1492,5
BH 2984 RE,Micro,224,2
BH 6217 TR,Mini,256,4
BH 0887 JS,Sedan,356,5
BH 4817 FK,Lux,1032,5
BH 5568 WC,Sedan,471,5
BH 3454 IH,Mini,211,4
BH 7529 LJ,Mini,273,4
BH 4173 NC,SUV,783,7
BH 2513 WR,Lux,869,5
BH 6559 FA,Mini,217,4
BH 5531 QM,Sedan,306,5
BH 0225 WQ,SUV,486,7
BH 0153 SO,Mini,285,4
BH 4641 PQ,Micro,267,2
BH 5900 ZR,SUV,418,7
BH 4546 DQ,Sedan,324,5
BH 6188 EF,Micro,198,2
BH 3466 SC,SUV,651,7
BH 7739 JI,Micro,277,2
BH 2413 XB,Micro,222,2
BH 3987 OE,Lux,831,5
