Class_Name,Price,Capacity,Class_Code,Train_ID
1_SLP,466,392,SLP,1
1_3AC,748,310,3AC,1
1_CC,1081,308,CC,1
1_EC,2288,258,EC,1
2_SLP,414,365,SLP,2
2_3AC,916,455,3AC,2
2_CC,1195,210,CC,2
2_EC,2388,408,EC,2
3_SLP,330,414,SLP,3
3_3AC,818,314,3AC,3
3_CC,1197,399,CC,3
3_EC,1582,392,EC,3
4_SLP,283,290,SLP,4
4_3AC,977,294,3AC,4
4_CC,1353,347,CC,4
4_EC,2427,333,EC,4
5_SLP,432,215,SLP,5
5_3AC,809,367,3AC,5
5_CC,1074,395,CC,5
5_EC,1508,211,EC,5
6_SLP,479,492,SLP,6
6_3AC,614,432,3AC,6
6_CC,1408,486,CC,6
6_EC,1892,391,EC,6
7_SLP,402,386,SLP,7
7_3AC,873,277,3AC,7
7_CC,1499,203,CC,7
7_EC,1661,220,EC,7
8_SLP,302,269,SLP,8
8_3AC,640,458,3AC,8
8_CC,1409,426,CC,8
8_EC,2146,297,EC,8
9_SLP,420,458,SLP,9
9_3AC,537,454,3AC,9
9_CC,1411,379,CC,9
9_EC,1570,302,EC,9
10_SLP,500,240,SLP,10
10_3AC,962,260,3AC,10
10_CC,1467,419,CC,10
10_EC,2539,492,EC,10
11_SLP,329,292,SLP,11
11_3AC,519,392,3AC,11
11_CC,1341,473,CC,11
11_EC,2693,298,EC,11
12_SLP,337,261,SLP,12
12_3AC,877,208,3AC,12
12_CC,1092,369,CC,12
12_EC,2071,283,EC,12
13_SLP,377,446,SLP,13
13_3AC,719,388,3AC,13
13_CC,1296,390,CC,13
13_EC,2744,393,EC,13
14_SLP,265,445,SLP,14
14_3AC,936,384,3AC,14
14_CC,1199,256,CC,14
14_EC,2358,323,EC,14
15_SLP,394,218,SLP,15
15_3AC,590,357,3AC,15
15_CC,1369,336,CC,15
15_EC,2912,488,EC,15
16_SLP,326,222,SLP,16
16_3AC,982,369,3AC,16
16_CC,1156,317,CC,16
16_EC,1555,381,EC,16
17_SLP,492,333,SLP,17
17_3AC,584,337,3AC,17
17_CC,1419,398,CC,17
17_EC,2600,487,EC,17
18_SLP,270,429,SLP,18
18_3AC,600,304,3AC,18
18_CC,1254,246,CC,18
18_EC,1796,345,EC,18
19_SLP,324,395,SLP,19
19_3AC,808,479,3AC,19
19_CC,1356,408,CC,19
19_EC,1540,372,EC,19
20_SLP,436,249,SLP,20
20_3AC,889,457,3AC,20
20_CC,1431,303,CC,20
20_EC,2735,292,EC,20
21_SLP,257,496,SLP,21
21_3AC,882,276,3AC,21
21_CC,1360,314,CC,21
21_EC,2249,325,EC,21
22_SLP,462,240,SLP,22
22_3AC,503,355,3AC,22
22_CC,1260,420,CC,22
22_EC,1804,370,EC,22
23_SLP,339,250,SLP,23
23_3AC,720,362,3AC,23
23_CC,1202,421,CC,23
23_EC,1856,351,EC,23
24_SLP,333,484,SLP,24
24_3AC,707,353,3AC,24
24_CC,1234,307,CC,24
24_EC,2246,481,EC,24
25_SLP,388,443,SLP,25
25_3AC,564,226,3AC,25
