Train_ID,Train_Name,Departure_ID,Arrival_ID,Departure_Time,Arrival_Time,Platform,Duration
1,Ongole Railway Station - Murarai Railway Station Express,445,254,2023-09-04 00:55:29,2023-09-04 12:10:29,1,675
2,Kalka Railway Station - Faridabad Express,117,25,2023-09-06 01:38:22,2023-09-06 12:45:22,3,667
3,Kurnool City Railway Station - Shimla Railway Station Express,453,118,2023-10-15 12:21:43,2023-10-16 05:33:43,9,1032
4,Raigarh Railway Station - Majorda Railway Station Express,339,414,2023-10-03 18:34:35,2023-10-04 03:51:35,2,557
5,Vadodara Junction - Chhatrapati Sahu Maharaj Terminus (Kolhapur Express,378,232,2023-10-20 02:14:24,2023-10-20 17:18:24,4,904
6,Sealdah Railway Station - Angul Railway Station Express,243,426,2023-10-28 19:25:32,2023-10-29 06:46:32,10,681
7,Jamnagar Railway Station - Chirala Railway Station Express,382,451,2023-10-02 19:55:22,2023-10-03 06:05:22,8,610
8,Bargarh Road Railway Station - Eluru Railway Station Express,431,446,2023-10-08 02:03:59,2023-10-08 15:25:59,1,802
9,Angul Railway Station - Dwarka Railway Station Express,426,393,2023-10-17 08:04:38,2023-10-17 22:19:38,9,855
10,Howrah Junction - Patan Railway Station Express,242,386,2023-09-21 16:30:23,2023-09-22 03:18:23,2,648
11,Delhi Shahdara Railway Station - Chikkamagaluru Railway Station Express,35,274,2023-09-05 19:18:00,2023-09-06 07:11:00,4,713
12,Ambikapur Railway Station - Yamunanagar Jagadhri Express,343,3,2023-10-28 07:14:22,2023-10-29 00:35:22,6,1041
13,Pathankot Junction - Nellore Railway Station Express,209,444,2023-10-11 10:41:37,2023-10-12 00:33:37,9,832
14,Koppal Railway Station - Hajipur Junction Express,271,170,2023-10-16 09:57:16,2023-10-17 02:49:16,3,1012
15,Jaipur Junction - Rayagada Railway Station Express,97,428,2023-09-28 10:08:39,2023-09-29 02:04:39,7,956
16,Akola Junction - Bapudham Motihari Express,226,174,2023-10-09 07:42:23,2023-10-09 21:01:23,1,799
17,Davangere Railway Station - Palakkad Junction Express,263,364,2023-10-26 19:24:26,2023-10-27 07:54:26,8,750
18,Goraul Railway Station - Mariani Junction Express,151,283,2023-09-04 15:44:49,2023-09-05 06:50:49,9,906
19,Koderma Railway Station - Amravati Railway Station Express,182,229,2023-09-21 11:04:13,2023-09-22 03:33:13,3,989
20,Phulbani Railway Station - Pathankot Junction Express,434,209,2023-09-05 14:50:42,2023-09-06 05:46:42,7,896
21,Jodhpur Junction - Secunderabad Junction Express,98,295,2023-09-14 12:05:29,2023-09-15 01:43:29,4,818
22,Darbhanga Junction - Rangiya Junction Express,141,294,2023-10-06 04:30:55,2023-10-06 20:02:55,2,932
23,Faridabad - Chandar Railway Station Express,25,411,2023-10-01 18:47:17,2023-10-02 11:22:17,7,995
24,Bilaspur Junction - Bidar Railway Station Express,337,267,2023-09-20 23:13:39,2023-09-21 15:42:39,10,989
25,Varanasi Junction Railway Station - Sealdah Railway Station Express,79,243,2023-10-10 19:26:48,2023-10-11 12:20:48,4,1014
26,Nagpur Junction - Kushinagar Railway Station Express,219,94,2023-10-28 02:59:29,2023-10-28 16:14:29,4,795
27,Dalli Rajhara Railway Station - Raipur Junction Express,348,336,2023-10-21 22:44:57,2023-10-22 10:52:57,9,728
28,Sakti Railway Station - Nagargao Railway Station Express,351,415,2023-10-15 21:27:28,2023-10-16 09:29:28,7,722
29,Jodhpur Junction - Barpeta Road Railway Station Express,98,282,2023-09-12 16:06:43,2023-09-13 01:43:43,5,577
30,Prayagraj Junction Railway Station - Srinagar Railway Station Express,81,70,2023-09-17 22:02:46,2023-09-18 07:34:46,3,572
31,Giridih Railway Station - Thoothukudi Junction Express,188,325,2023-09-22 06:53:13,2023-09-22 23:10:13,3,977
32,Vikasnagar Railway Station - Bargarh Road Railway Station Express,136,431,2023-10-28 17:08:03,2023-10-29 08:24:03,10,916
33,Katra Railway Station - Kurukshetra Junction Express,63,17,2023-10-26 01:29:36,2023-10-26 14:41:36,8,792
34,Dongargarh Railway Station - Ambala City Express,346,2,2023-10-21 03:25:27,2023-10-21 16:24:27,10,779
35,Pathankot Junction - Delhi Shahdara Railway Station Express,209,35,2023-10-12 14:29:28,2023-10-13 01:33:28,6,664
36,Cansaulim Railway Station - Gomoh Junction Railway Station Express,402,185,2023-09-02 03:16:29,2023-09-02 19:27:29,10,971
37,Gurdaspur Railway Station - Kadapa Railway Station Express,213,454,2023-10-10 00:02:23,2023-10-10 13:01:23,6,779
38,Hazaribagh Road Railway Station - Ambikapur Railway Station Express,180,343,2023-10-03 23:50:20,2023-10-04 16:43:20,3,1013
39,Bhongir Railway Station - Ramanathapuram Railway Station Express,308,329,2023-09-06 22:38:58,2023-09-07 14:28:58,7,950
40,Bidar Railway Station - Dhenkanal Railway Station Express,267,433,2023-09-26 17:36:37,2023-09-27 09:10:37,7,934
41,Bargarh Road Railway Station - Erode Junction Express,353,323,2023-10-16 15:38:10,2023-10-17 03:28:10,9,710
42,Puri Railway Station - Idukki Railway Station Express,419,373,2023-10-18 11:02:27,2023-10-19 02:19:27,9,917
43,Kurukshetra Junction - Udaipur City Express,17,99,2023-10-11 14:44:02,2023-10-12 00:08:02,6,564
44,Kannur Railway Station - Barsi Takht Railway Station Express,365,129,2023-10-14 10:45:35,2023-10-14 23:48:35,9,783
45,Vasai Road Railway Station - Narela Railway Station Express,234,39,2023-10-29 14:22:29,2023-10-30 07:50:29,3,1048
46,Jaunpur Junction Railway Station - Vizianagaram Junction Express,96,447,2023-09-22 13:15:10,2023-09-23 04:54:10,7,939
47,Warangal Railway Station - Bikaner Junction Express,300,102,2023-09-05 04:42:52,2023-09-05 18:21:52,6,819
48,Manwal Railway Station - Kanjirappalli Railway Station Express,72,372,2023-10-01 00:35:40,2023-10-01 14:54:40,10,859
49,Kurukshetra Junction - Tilak Nagar Railway Station Express,17,45,2023-09-17 01:24:18,2023-09-17 13:53:18,4,749
50,Goraul Railway Station - Lajpat Nagar Railway Station Express,171,44,2023-10-16 09:25:53,2023-10-16 21:27:53,1,722
51,Delhi Shahdara Railway Station - Patiala Railway Station Express,35,206,2023-09-29 04:09:21,2023-09-29 17:14:21,6,785
52,Cuddalore Junction - Ara Junction Express,333,167,2023-09-12 22:30:31,2023-09-13 11:45:31,3,795
53,Hazaribagh Town Railway Station - Hospet Junction Express,190,273,2023-09-08 18:51:18,2023-09-09 12:49:18,1,1078
