Room_Num,Hotel_ID,Room_type,Cost,Room_Capacity
1,1,Superior room,3800,3
2,1,Suite,17000,5
3,1,Standard Room,1300,2
4,1,Exceutive Room,4600,2
5,1,Superior room,3800,5
6,1,Deluxe Room,2600,4
7,1,Exceutive Room,4600,2
8,1,Family Room,4000,3
9,1,Standard Room,1300,3
10,1,Adjoining Rooms,5400,2
11,1,Standard Room,1300,2
12,1,Deluxe Room,2600,3
13,1,Exceutive Room,4600,5
14,1,Family Room,4000,4
15,1,Standard Room,1300,2
16,1,Exceutive Room,4600,4
17,1,Exceutive Room,4600,5
18,1,Exceutive Room,4600,5
19,1,Family Room,4000,2
20,1,Presidential Suite,74000,2
21,1,Superior room,3800,2
22,1,Superior room,3800,2
23,1,Accessible Room,2800,5
24,1,Family Room,4000,5
25,1,Exceutive Room,4600,5
26,1,Suite,17000,2
27,1,Exceutive Room,4600,5
28,1,Family Room,4000,3
29,1,Superior room,3800,3
30,1,Accessible Room,2800,5
31,1,Exceutive Room,4600,2
32,1,Family Room,4000,4
33,1,Standard Room,1300,4
34,1,Family Room,4000,2
35,1,Family Room,4000,2
36,1,Exceutive Room,4600,5
37,1,Standard Room,1300,5
38,1,Exceutive Room,4600,3
39,1,Adjoining Rooms,5400,3
40,1,Adjoining Rooms,5400,4
41,1,Superior room,3800,2
42,1,Adjoining Rooms,5400,2
43,1,Accessible Room,2800,3
44,1,Exceutive Room,4600,3
45,1,Superior room,3800,3
46,1,Exceutive Room,4600,3
47,1,Standard Room,1300,5
48,1,Exceutive Room,4600,3
49,1,Superior room,3800,3
50,1,Family Room,4000,4
51,1,Standard Room,1300,4
52,1,Adjoining Rooms,5400,2
53,1,Family Room,4000,5
54,1,Family Room,4000,3
55,1,Standard Room,1300,4
56,1,Exceutive Room,4600,2
57,1,Accessible Room,2800,5
58,1,Superior room,3800,4
59,1,Family Room,4000,2
1,2,Presidential Suite,97000,2
2,2,Adjoining Rooms,5800,4
3,2,Exceutive Room,4500,4
4,2,Suite,19000,4
5,2,Suite,19000,5
6,2,Standard Room,1900,3
7,2,Family Room,2500,3
8,2,Exceutive Room,4500,4
9,2,Family Room,2500,5
10,2,Exceutive Room,4500,5
11,2,Exceutive Room,4500,4
12,2,Presidential Suite,97000,2
13,2,Exceutive Room,4500,3
14,2,Standard Room,1900,2
15,2,Exceutive Room,4500,5
16,2,Deluxe Room,2700,2
17,2,Presidential Suite,97000,4
