Hotel_ID,Hotel_Name,Address,State,Phone,Fax,Email,Website,Type,Rooms
1,The Oberoi Cecil,"""Ambedkar ChowkChaura Maidan, Shimla - 171004, HIMACHAL PRADESH""",HIMACHAL PRADESH,0177-2804848 ,0177-2811024,reservations@oberoigroup.com,www.oberoihotels.com,Heritage Grand,75
2,The Lalit Grand Palace,"""Gupkar Road, Srinagar, JAMMU AND KASHMIR""",JAMMU AND KASHMIR,1942501001,1942501003,srinagar@thelalit.com,,Heritage Grand,112
3,Hotel Fateh Prakash Palace,"""The City Palace Complex, Udaipur - 313001, RAJASTHAN""",RAJASTHAN,0294-2528016-9,0294-2528006,mgrfpp@udaipur.hrhindia.com,www.hrhindia.com,Heritage Grand,30
4,Shiv Niwas Palace,"""The City Palace ComplexUdaipur, Udaipur, RAJASTHAN""",RAJASTHAN,2942528016,2942528006,maltidutta50@yahoo.com,,Heritage Grand,36
5,Savoy Hotel ,"""77, Sylks Road, Ootacamund, TAMIL NADU""",TAMIL NADU,423244142,423443318,savoy.ooty@tajhotels.com,,Heritage Grand,40
6,Raheem Residency,"""20/1100Beach Road, Alleppey West - 688 012, KERALA""",KERALA,0477-2230767,0477-2239767,contact@raheemresidency.com,www.raheemresidency.com,Heritage Classic,10
7,Noor Us Sabah Palace,"""V.I.P.RoadKoh-E-Fiza, Bhopal - 462001, MADHYA PRADESH""",MADHYA PRADESH,0755-4223333/4239996,0755-4227777,contact@noorussabahpalace.com/reservations@nusp.in,www.noorussabahpalace.com,Heritage Classic,57
8,The Panjim Inn ,"""31-ST JANUARY ROAD, FONTAINHAS, PANAJI, Panaji , GOA""",GOA,4564277301,4565273111,visalam@cghearth.com,www.cghearth.com,Heritage Basic,15
9,Balaram Palace Resort,"""Chitrassani Village,off Abu Palanpur Highway No.14 Banaskantha, BANASKANTHA, GUJARAT""",GUJARAT,"07926575286, 2657638",7926578412,balarampalaceresort@gmail.com,,Heritage Basic,22
10,Nilambag Palace Hotel,"""Bhavnagar, Bhavnagar, GUJARAT""",GUJARAT,"02782424241, 2429323",2782428072,reservation@nilambagpalace.com,,Heritage Basic,28
11,The Fort Ramgarh,"""Ramgarh, Panchkula On NH - 73 Delhi Shimla Highway, Near Chandigarh, Panchkula Distt., HARYANA""",HARYANA,"01733253072-75, 9814",,thefortramgarh@gmail.com,,Heritage Basic,12
12,The Judges Court,"""Heritage VillageParagpur, Distt. - Kangra - 177107, HIMACHAL PRADESH""",HIMACHAL PRADESH,01970-245035/245335,01970-245823,eries@vsnl.com/info@judgescourt.com,www.judgescourt.com,Heritage Basic,10
13,The Palace,"""Chail, Solan,HIMACHAL PRADESH""",HIMACHAL PRADESH,1772652704,1772652206,maltidutta50@yahoo.com,,Heritage Basic,31
14,The Castle Naggar,"""Naggar, Distt. Kullu - 175130, HIMACHAL PRADESH""",HIMACHAL PRADESH,1902248316,1902223429,castle@hptddc.in/kullu@hptdc.in,wwwhptdc.nic.in,Heritage Basic,17
15,Hotel Cherthala House,"""Court JunctionEast of P.M.C. - 5, cherthala - 688 524, KERALA""",KERALA,0475-2223688,,housecherthala@hotmail.com,,Heritage Basic,5
16,Heritaga Methanam,"""K P XI / 298Near Perumpadappu, Kumbalanghi Bridge, Kumbalanghi P.O., Kochi - 682 007, KERALA""",KERALA,4842248284,4842248284,heritagemethanam@gmail.com/info@heritagemethanam.com,www.heritagemethanam.com,Heritage Basic,7
17,Old Lighthouse Bristow Hotel ,"""Beach Road Next to SBI Training Center Fort Kochi , Cochin , KERALA""",KERALA,4843050102,,reservations@oldlighthousehotel.com,,Heritage Basic,11
18,Hotel Le Colonial ,"""1/215, Church Road, Vasco-da-Gama Square, Fort Cochin , KERALA""",KERALA,4842217181,4842217184,lecolonial@dataone.in,,Heritage Basic,8
19,Kunnathur Mana Ayurveda Heritage,"""Door No.VIII/666 Punnayurkulam P.O. Thrissur Dist, Kerala, KERALA""",KERALA,"0487 2547552, 254755",4872547554,mail@kmaheritage.com,,Heritage Basic,7
20,Old Harbour Hotel,"""No-1/328, Tower Road, Fort Kochi , Kochi , KERALA""",KERALA,4842218006,,raintree@fortcochin.com,,Heritage Basic,13
21,Coconut Lagoon,"""P.O. Box No. 2Kumarakom, Kottayam - 686563, KERALA""",KERALA,0481-2524491-2524373,0481-2524495,coconutlagoon@cghearth.com,www.cghearth.com,Heritage Basic,36
22,Beach Hotel,"""(Beach Heritage Inn (P) Ltd.)Beach Road, Kozhikode - 673032, KERALA""",KERALA,0495-2762055-57,0495-2365363,info@beachheritage.com,www.beachheritage.com,Heritage Basic,6
23,Palakkad Heritage Hotels,"""Koduvayur P.O.Palakkad, Dist., KERALA """,KERALA,4923252143,4923252144,info@palakkadheritagehotel.com,www.palakkadheritagehotel.com,Heritage Basic,5
24,Somatheeram Ayurvedic Beach Resort (P) Ltd.,"""P.O. ChowaraVia Balaramapuram, Thiruvananthapuram - 695501, KERALA""",KERALA,0471-2268101,0471-2267600,mail@somatheeram.in,www.somatheeram.in,Heritage Basic,42
25,The Hillway Heritage,"""Opp. Police Station, State Highway - 1Kilimanoor P.O., Thiruvananthapuram - 695601, KERALA""",KERALA,4702673555,,mail@hillwayhotels.com,www.hillwayhotels.com,Heritage Basic,6
26,Ahilya Fort ,"""Ahilya Fort, Maheshwar, W Nimar , Bhopal , MADHYA PRADESH""",MADHYA PRADESH,7283273329,,info@ahilyafort.com,www.ahilyafort.com,Heritage Basic,15
27,Hotel Rock End Manor ,"""Pachmarhi Distt. ,HOSHANGABAD , MADHYA PRADESH""",MADHYA PRADESH,7552774340,7552779476,info@mptourism.com,www.mptourism.com,Heritage Basic,6
28,Satpura Retreat,"""Pachmarhi, Dist. Hosangabad, MADHYA PRADESH""",MADHYA PRADESH,07578-252097,,satpura@mptourism.com,www.mptourism.com,Heritage Basic,6
29,Hotel Sheesh Mahal ,"""MPSTDC, Orchha, Tikamgarh Dist. , MADHYA PRADESH""",MADHYA PRADESH,7552774340,7552779476,info@mptourism.com,www.mptourism.com,Heritage Basic,8
30,Jehan Numa Palace Hotel ,"""157, SHAMLA HILL(M.P) , Bhopal , MADHYA PRADESH""",MADHYA PRADESH,755661100,755661720,,www.hoteljehanumapalace.com,Heritage Basic,98
31,LE DUPLEIX ,"""(unit of auberge Heritage Hotels) 5, CASERNE STREET , Pondicherry, PONDICHERRY""",PONDICHERRY,4132666001,4132334258,gmldp@sarovarhotels.com,,Heritage Basic,21
32,Calve,"""A Heritage HotelOld No. 36, New No. 44, Vysial Street, Puducherry - 605 001, PUDUCHERRY""",,0413-2224103-2223738,413-2222613,whclve@gmail.com/calve@vsnl.net,www.calve.in,Heritage Basic,11
33,"Welcome Heritage, Khimsar Fort","""Khimsar, RAJASTHAN """,RAJASTHAN ,1585262345,1585262228,reservation@khimsar.com,,Heritage Basic,67
34,The Bagh ,"""Agra Achnara Road Pucca Bagh Bharatpur, Bharatpur, RAJASTHAN """,RAJASTHAN ,1733253072,1733253072,contact@thefortramgarh.com,,Heritage Basic,29
35,Gajner Palace,"""P.O. GajnerTehsil : Kolayat, Bikaner - 334001, RAJASTHAN""",RAJASTHAN,01534-275061-9,01534-275060,egmnr@gajner.hrhindia.com,www.hrhindia.com,Heritage Basic,45
36,The Laxmi Niwas Palace ,"""(A Unit of Golden Triangle Fort and Palace Pvt. Ltd.) Dr. Karni Singhji Road ,Bikaner ,RAJASTHAN""",RAJASTHAN,8322226523,8322435220,panjimin@bsnl.in,,Heritage Basic,24
37,Chomu Palace,"""Near Main ChomuBus Stand, Chomu - 303702, RAJASTHAN""",RAJASTHAN ,01423-300400,01423-300400,gm@chomupalacehotel.com/info@chomupalacehotel.com,www.chomupalacehotel.com,Heritage Basic,58
38,Bissau Palace ,"""Outside Chandpole Gate , Jaipur, RAJASTHAN""",RAJASTHAN ,1412304371,1412304628,bissau@sancharnet.in,www.bissaupalace.com,Heritage Basic,50
39,Deogarh Resorts,"""Deogarh MahalP.O. Deogarh Madariya, Distt. Rajsamand - 313331, RAJASTHAN""",RAJASTHAN ,02904-252777,02904-252555,deogarh@datainfosys.net,www.deogarhmahal.com,Heritage Basic,45
40,Shikarbadi Hotel,"""Goverdhan Vilas, Udaipur - 313001, RAJASTHAN""",RAJASTHAN ,0294-2583200/04,0294-2584841,shikarbadi@hrhhotels.com,www.hrhhotels.com,Heritage Basic,25
41,Welcom Heritage - Koolwal Kothi,"""House No. 40,Near Government Hospital RoadNawal Garh District, Jhunjhunu, RAJASTHAN""",RAJASTHAN ,01594-225817,01594-225818,indralokhotels@hotmail.com/holidays@welcomheritagehotels.com,www.welcomheritagehotels.com,Heritage Basic,10
42,Ajit Bhawan,"""Near Circuit House, Jodhpur - 342 006, RAJASTHAN""",RAJASTHAN ,"0291-2513333, 251141",0291-2510674,reservations@ajitbhawan.com,www.ajitbhawan.com,Heritage Basic,70
43,Hotel Samode Palace,"""Village Samode, Dist. Jaipur - 303806, RAJASTHAN""",RAJASTHAN,01423-240014,01423-240023,reservations@samode.com,www.samode.com,Heritage Basic,43
44,Raj Niwas Palace,"""National Highway-3, Dholpur - 328 001, RAJASTHAN""",RAJASTHAN,05642-220216,05642-224888,info@dholpurpalace.com,www.dholpurpalace.com,Heritage Basic,20
45,Hotel Castle Mandawa Pvt.Ltd.,"""MandawaJhunjhunu District, Shekhawati - 333704, RAJASTHAN""",RAJASTHAN,0141-2371194/2374112,0141-2372084,reservation@castlemandawa.com/castle@datainfosys.net,www.castlemandawa.com,Heritage Basic,70
46,Rohet Garh,"""Village P.O RohetDistt. Pali, Rajasthan, RAJASTHAN""",RAJASTHAN,2936268231,2912649368,rohethouse@dataone.in,,Heritage Basic,34
47,Lake Pichola Hotel,"""Piplia Haveli, Out Side ChandpoleUdaipur, Rajasthan, Udaipur, RAJASTHAN""",RAJASTHAN,2942431197,9242430575,maltidutta50@yahoo.com,,Heritage Basic,32
48,The Ramgarh Lodge,"""Ramgarh LakeJamwa Ramgarh, Jaipur - 303109, RAJASTHAN""",RAJASTHAN,01426-214027/214097,01426-252079,ramgarh.jaipur@tajhotels.com,,Heritage Basic,14
49,Hotel Indra Villas ,"""A unit of Desert Heritage Resorts Pvt. Ltd. Ward No.2, Village Alsisar , JHUNJHUNU , RAJASTHAN""",RAJASTHAN,1595275567,1595275567,info@indravilasalsisar.com,,Heritage Basic,43
50,Singhasan Haveli,"""Goenka Chowk, Mandawa,Dist., JHUNJHUNU, RAJASTHAN""",RAJASTHAN,1126124069,1126124073,info@singhasanhaveli.com,,Heritage Basic,26
51,Fort Khejarla,"""(Aunit of Bhandari Heritage Pvt. Ltd.)Village Khejarla, Via Bilara, Distt. Jodhpur - 342601, RAJASTHAN""",RAJASTHAN,02930-258485 - 25848,02930-258485,khejarlafort@gmail.com,www.jodhpurforkhejarla.com,Heritage Basic,38
52,Sardargarh Heritage Hotel ,"""Sardargarh Fort, Village-Lawa Sardargarh Sardargarh, Dist:-Rajsamand , Rajsamand , RAJASTHAN""",RAJASTHAN,1592223137,1592223137,hotelmandawa@yahoo.co.in,,Heritage Basic,24
53,The Sawai Madhopur Lodge,"""Ranthambore National Park Road, Sawai Madhopur - 302 005, RAJASTHAN""",RAJASTHAN,07462-220541,07462-220718,vivanta.sawaimadhopur@tajhotels.com,,Heritage Basic,36
