Room_Num,Hotel_ID,Room_type,Cost,Room_Capacity
1,1,Deluxe,2384,4
2,1,Single,6630,3
3,1,Double,6883,1
4,1,Deluxe,7498,4
5,1,Deluxe,9882,3
6,1,Double,9504,4
7,1,Deluxe,6992,1
8,1,Double,1622,1
9,1,Suite,8513,2
10,1,Single,2458,1
11,1,Suite,4286,3
12,1,Double,5287,1
13,1,Deluxe,5668,3
14,1,Deluxe,1908,1
15,1,Deluxe,4979,4
16,1,Single,5514,4
17,1,Single,5496,2
18,1,Deluxe,6947,1
19,1,Suite,6250,1
20,1,Deluxe,3740,3
21,1,Double,2728,2
22,1,Suite,9217,2
23,1,Single,4405,3
24,1,Double,9000,3
25,1,Suite,9322,2
26,1,Single,3178,4
27,1,Deluxe,7536,4
28,1,Suite,9515,4
29,1,Single,8506,4
30,1,Suite,1133,3
31,1,Single,7346,1
32,1,Single,6345,2
33,1,Single,3859,3
34,1,Single,2283,2
35,1,Deluxe,6028,3
36,1,Double,3794,1
37,1,Suite,2808,4
38,1,Single,7889,2
39,1,Double,5662,2
40,1,Suite,3533,3
41,1,Single,1470,1
42,1,Double,8746,2
43,1,Suite,3253,1
44,1,Single,5513,3
45,1,Deluxe,2683,2
46,1,Suite,3549,3
47,1,Single,8069,4
48,1,Single,6432,4
49,1,Single,5654,3
50,1,Single,1694,4
51,1,Deluxe,8451,3
52,1,Deluxe,9587,1
53,1,Double,1139,1
54,1,Single,9855,3
55,1,Single,7039,3
56,1,Suite,9464,4
57,1,Single,8719,3
58,1,Double,8988,3
59,1,Suite,6504,1
60,1,Double,1617,4
61,1,Suite,1031,1
62,1,Deluxe,2441,2
63,1,Deluxe,6447,1
64,1,Suite,8748,2
65,1,Single,8245,3
66,1,Single,7794,1
67,1,Single,5400,2
68,1,Single,6208,4
69,1,Double,6634,4
70,1,Double,1584,2
71,1,Deluxe,7393,4
72,1,Single,3928,2
73,1,Suite,1647,1
74,1,Double,7158,2
75,1,Suite,3365,2
1,2,Suite,5394,3
2,2,Double,7853,4
3,2,Deluxe,8088,2
4,2,Deluxe,3000,2
5,2,Deluxe,9488,3
6,2,Double,1478,4
7,2,Double,1970,2
8,2,Double,1434,2
9,2,Single,5442,4
10,2,Single,2571,2
11,2,Single,8567,2
12,2,Single,4714,1
13,2,Suite,6234,3
14,2,Suite,5106,1
15,2,Suite,2822,3
16,2,Suite,4884,1
17,2,Deluxe,8878,2
18,2,Double,1979,4
19,2,Single,7408,2
20,2,Double,9152,1
21,2,Deluxe,3160,3
22,2,Double,6839,3
23,2,Deluxe,6800,4
24,2,Single,2690,1
25,2,Deluxe,8767,1
26,2,Suite,5572,1
27,2,Deluxe,5772,1
28,2,Single,8057,3
29,2,Single,2181,1
30,2,Single,8114,3
31,2,Single,2410,2
32,2,Deluxe,7464,2
33,2,Double,9206,4
34,2,Deluxe,6006,4
35,2,Single,4843,4
36,2,Deluxe,9673,1
37,2,Suite,8591,3
38,2,Suite,4943,3
39,2,Double,3128,1
40,2,Suite,8761,2
41,2,Suite,9994,4
42,2,Deluxe,4151,2
43,2,Deluxe,3780,2
44,2,Single,4237,2
45,2,Single,7109,3
46,2,Deluxe,2851,4
47,2,Deluxe,5196,2
48,2,Double,6195,1
49,2,Double,1471,3
50,2,Double,5031,2
51,2,Suite,8783,4
52,2,Double,5248,3
53,2,Double,5402,4
54,2,Single,1840,1
55,2,Suite,6656,1
56,2,Double,2418,2
57,2,Deluxe,9733,1
58,2,Double,3209,3
59,2,Double,4661,1
60,2,Deluxe,8680,3
61,2,Suite,8593,2
62,2,Double,7882,1
63,2,Single,5680,2
64,2,Double,7340,1
65,2,Double,4169,3
66,2,Deluxe,9607,3
67,2,Suite,5831,4
68,2,Double,1597,2
69,2,Single,1582,4
70,2,Suite,3462,3
71,2,Double,7683,1
72,2,Double,6604,2
73,2,Double,1632,3
74,2,Suite,5691,1
75,2,Suite,3294,4
76,2,Single,8440,2
77,2,Double,6098,3
78,2,Double,9242,1
79,2,Suite,7107,3
80,2,Suite,8363,3
81,2,Single,7852,1
82,2,Double,7304,2
83,2,Suite,8198,3
84,2,Deluxe,1848,4
85,2,Deluxe,2501,1
86,2,Double,4319,1
87,2,Suite,3200,4
88,2,Double,8062,4
89,2,Double,4333,4
90,2,Double,5094,2
91,2,Single,1923,1
92,2,Single,7051,4
93,2,Double,4888,1
94,2,Deluxe,4757,3
95,2,Double,1877,2
96,2,Deluxe,1724,1
97,2,Double,9879,3
98,2,Single,6380,4
99,2,Deluxe,3607,3
100,2,Single,2348,3
101,2,Deluxe,2650,4
102,2,Single,5786,1
103,2,Single,9190,3
104,2,Suite,7834,1
105,2,Double,8991,4
106,2,Single,7698,4
107,2,Suite,5200,3
108,2,Double,5029,3
109,2,Single,3233,1
110,2,Suite,4732,2
111,2,Single,7414,3
112,2,Suite,7024,1
1,3,Suite,7903,1
2,3,Suite,2779,1
3,3,Single,6046,4
4,3,Deluxe,6873,4
5,3,Double,1843,1
6,3,Double,1965,1
7,3,Single,8932,1
8,3,Single,5105,4
9,3,Single,4650,2
10,3,Suite,2467,2
11,3,Single,1439,1
12,3,Single,2813,1
13,3,Single,2866,3
14,3,Double,4014,2
15,3,Suite,9861,1
16,3,Deluxe,1843,2
17,3,Suite,1550,3
18,3,Suite,9298,4
19,3,Double,3937,1
20,3,Double,8740,4
21,3,Deluxe,3503,2
22,3,Single,4610,1
23,3,Deluxe,5186,3
24,3,Deluxe,6120,2
25,3,Single,6522,2
26,3,Single,9375,4
27,3,Single,9586,4
28,3,Suite,7901,2
29,3,Deluxe,8028,4
30,3,Single,4489,3
1,4,Suite,9214,2
2,4,Single,2826,1
3,4,Single,1475,1
4,4,Suite,5695,1
5,4,Single,2939,4
6,4,Double,2626,4
7,4,Suite,4430,3
8,4,Single,7174,1
9,4,Suite,9075,1
10,4,Deluxe,2005,3
11,4,Double,1810,3
12,4,Double,8504,4
